User ID,family member,seasons,weekly,monthly,by cycle
11666,8,Spring,7.11,33.14,83.61
75296,2,Summer,2.07,8.05,25.89
20350,4,Summer,4.70,15.89,55.92
94396,8,Winter,4.13,14.74,44.70
19178,9,Spring,8.63,30.77,102.08
71573,8,Autumn,5.29,22.91,72.04
48541,6,Winter,2.56,11.23,38.85
67042,8,Winter,3.96,16.25,53.99
95723,6,Spring,5.91,25.85,68.53
77335,4,Spring,3.60,16.76,43.32
73799,8,Spring,8.07,28.66,96.88
39687,7,Summer,6.65,32.61,103.33
80980,6,Summer,6.45,28.58,88.62
45402,6,Autumn,4.11,18.12,58.04
58818,5,Winter,2.51,13.13,35.18
13087,6,Summer,5.66,30.06,77.88
19508,4,Spring,3.08,15.61,42.67
94999,8,Spring,7.95,26.24,84.92
73102,5,Spring,4.10,18.46,48.84
99788,3,Autumn,1.88,8.90,25.19
62177,8,Winter,3.81,14.90,43.37
87353,5,Summer,4.34,20.50,53.91
38268,3,Autumn,1.71,8.24,27.06
98945,7,Summer,6.70,32.68,100.36
52229,2,Summer,1.81,7.84,24.34
37370,9,Spring,7.40,28.26,97.40
48704,5,Summer,5.02,18.15,65.51
60053,5,Autumn,3.27,14.94,37.40
77946,6,Summer,5.55,29.46,69.62
79498,6,Spring,5.78,23.43,61.97
11912,6,Spring,4.89,22.01,55.46
30430,2,Spring,1.73,7.19,18.80
52180,8,Summer,8.65,37.21,108.86
52427,2,Summer,1.80,7.40,21.87
39493,8,Autumn,6.45,24.95,84.79
84731,6,Summer,6.20,24.32,85.62
25484,4,Autumn,3.02,11.70,40.91
15664,2,Winter,1.01,4.06,15.74
24375,3,Autumn,1.97,9.80,26.81
74168,7,Autumn,5.65,24.33,72.35
13019,7,Spring,6.63,28.06,72.73
87606,2,Autumn,1.29,5.81,18.20
99598,9,Spring,9.17,30.33,99.98
51312,5,Autumn,3.34,17.01,51.57
61513,6,Summer,6.85,24.71,88.12
58638,7,Spring,5.60,20.81,82.00
97313,5,Summer,5.39,19.29,59.57
47710,3,Winter,1.24,6.42,17.94
34269,5,Summer,4.71,23.87,74.14
33758,9,Spring,8.29,28.93,89.75
21962,3,Winter,1.31,6.42,19.81
42208,9,Winter,5.67,22.64,57.99
58809,8,Autumn,5.01,26.07,67.29
34653,4,Autumn,2.58,11.11,29.85
70147,8,Winter,4.16,15.33,48.51
69166,6,Spring,5.31,19.31,54.90
94914,8,Spring,7.50,29.02,90.24
48579,7,Winter,4.02,19.19,51.36
92494,9,Winter,4.64,19.81,74.42
12985,8,Spring,7.01,30.62,80.89
65309,7,Spring,7.04,27.25,78.21
48084,4,Summer,4.10,15.67,50.72
95616,4,Autumn,2.65,11.51,39.85
18267,3,Summer,3.11,14.66,42.33
22479,9,Autumn,5.83,25.91,93.08
76321,4,Summer,4.41,18.21,57.04
56361,6,Summer,6.46,24.14,70.76
90658,4,Winter,2.12,10.19,30.10
43524,5,Spring,3.91,17.97,54.36
67577,3,Spring,2.40,11.08,29.96
26720,5,Winter,3.15,13.16,38.51
56744,7,Autumn,3.89,19.61,49.62
74876,7,Spring,6.20,21.18,77.56
64879,8,Spring,7.80,33.65,95.22
52563,5,Winter,2.09,11.33,26.61
48733,7,Winter,3.89,15.18,49.16
68928,7,Spring,5.97,23.05,78.16
14273,5,Winter,2.25,9.03,26.56
14508,8,Autumn,5.28,21.74,67.82
77809,4,Spring,3.83,14.70,40.91
17682,8,Spring,6.86,26.49,86.46
64736,2,Winter,1.03,3.50,12.22
23176,6,Winter,2.51,12.23,32.12
65269,2,Winter,1.05,5.13,14.70
94384,2,Spring,1.59,7.24,21.51
44155,9,Summer,10.44,45.53,137.16
25291,2,Spring,1.54,6.75,22.80
75456,3,Spring,2.65,10.39,32.80
63168,5,Winter,2.64,9.29,34.88
81791,6,Summer,5.05,24.60,73.47
57179,4,Summer,4.10,14.25,55.75
31628,7,Spring,5.51,27.26,81.00
75503,7,Winter,3.59,15.45,48.47
34294,5,Winter,2.35,8.87,27.07
52028,7,Spring,5.21,26.23,67.60
10588,9,Winter,4.22,18.16,55.56
72811,9,Winter,4.75,16.27,60.05
85311,9,Summer,10.12,45.21,126.33
34683,4,Spring,3.68,15.58,38.68
41884,9,Winter,4.20,17.06,50.95
39197,7,Spring,5.76,24.60,70.94
10186,9,Winter,3.81,18.67,60.70
28393,9,Winter,4.28,16.28,62.31
28612,7,Summer,6.28,24.84,84.73
75760,3,Summer,3.50,13.52,43.08
92831,5,Winter,2.55,11.53,34.41
96552,6,Winter,3.19,13.27,33.76
91339,6,Winter,2.90,13.86,37.35
41047,2,Spring,1.55,7.20,22.01
25010,3,Winter,1.65,7.54,19.67
62094,5,Winter,2.65,11.42,29.54
99985,2,Spring,1.82,7.93,20.26
74559,9,Summer,9.73,43.16,110.73
50168,2,Spring,1.59,8.15,24.40
11110,3,Summer,2.90,14.07,44.45
51229,3,Autumn,1.78,7.65,24.82
85313,4,Winter,2.01,9.60,31.33
